"","trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","event"
"108",27,884,1124,808.333333333333,709.666666666667,4.4478,4.69489999999994,8.5,12.1666666666666,240,"fixation"
"109",27,1917,2063,1007,508.666666666667,0.494199999999888,3.95359999999994,8.66666666666663,13,146,"fixation"
"110",27,2498,2990,839,754.833333333333,8.40139999999994,9.6369,12,-13.8333333333333,492,"fixation"
"111",27,3391,3557,720.333333333333,728.666666666667,4.4478,2.47099999999994,13.5,-5.5,166,"fixation"
"113",28,1128,1285,40.6666666666667,530.333333333333,4.942,3.95360000000003,-8.66666666666667,-9.83333333333331,157,"fixation"
"114",28,2806,2922,1199.5,397.333333333333,0.7413,8.40140000000003,-6.5,6.66666666666669,116,"fixation"
"115",28,4114,4314,732,815.666666666667,2.9652,8.8956,4.83333333333331,-5.5,200,"fixation"
"118",30,368,531,786.333333333333,231.333333333333,9.38979999999989,3.45939999999997,12.8333333333333,-12.3333333333333,163,"fixation"
"121",32,331,752,973.666666666667,240,7.41299999999983,7.413,10.6666666666667,-11.6666666666667,421,"fixation"
"123",33,661,803,885,375.166666666667,2.47100000000003,5.1891,6.33333333333331,-12.1666666666667,142,"fixation"
"124",33,1705,2045,942.666666666667,857.333333333333,6.91880000000011,8.40139999999994,-9.83333333333331,-10.1666666666667,340,"fixation"
"125",33,2863,3264,1275.83333333333,410.833333333333,22.7332000000001,4.69490000000003,-16.3333333333334,-13.6666666666666,401,"fixation"
"127",34,651,790,891.5,530.666666666667,4.69490000000003,2.47099999999994,3.33333333333331,-6.5,139,"fixation"
"128",34,1294,1522,955.333333333333,615.666666666667,4.94199999999989,15.3202000000001,-9.16666666666663,-13.3333333333334,228,"fixation"
"129",34,1859,1996,878.166666666667,686.833333333333,0.247100000000028,5.68329999999997,-7.16666666666669,-0.666666666666686,137,"fixation"
"130",34,2196,2529,915.666666666667,751.666666666667,7.413,14.3318000000001,-10.5000000000001,14,333,"fixation"
"131",34,2955,3156,935,904.666666666667,9.88400000000011,2.47100000000011,10.4999999999999,-9,201,"fixation"
"133",35,697,1251,843.666666666667,440.333333333333,9.38980000000006,8.1543,9.5,-11.1666666666667,554,"fixation"
"134",35,1512,2087,858.666666666667,522.666666666667,19.7680000000001,5.43619999999994,11.6666666666666,-9.16666666666669,575,"fixation"
"136",36,193,1591,886.5,526.333333333333,39.7831,136.1521,10.8333333333333,-30.8333333333333,1398,"fixation"
"137",36,1853,1960,1107.33333333333,444,130.7159,32.8643,-5.16666666666663,10,107,"fixation"
"138",36,2220,2486,1046.16666666667,442,15.3201999999999,33.8527,-94.8333333333334,28.5,266,"fixation"
"139",36,3124,3256,886.5,52.8333333333333,0.247100000000028,2.71809999999999,-6.16666666666669,-7.83333333333333,132,"fixation"
"141",37,1264,1397,604.5,100.5,0.247100000000028,6.1775,7.66666666666663,13,133,"fixation"
"142",37,3703,3970,749,606.333333333333,2.9652,4.4478,4.66666666666669,-7.33333333333337,267,"fixation"
"143",37,4371,5078,894.333333333333,765,16.3086,9.38979999999989,-12.5,-10.1666666666666,707,"fixation"
"144",37,5278,5680,862.166666666667,745.5,20.5093,9.38980000000006,-10,12.1666666666667,402,"fixation"
"145",37,6126,6284,890.666666666667,806.833333333333,8.89559999999991,2.2239,-12.6666666666666,2.83333333333331,158,"fixation"
"146",37,6426,6827,927.333333333333,815.666666666667,9.6369,4.20069999999997,9.83333333333337,-6.83333333333337,401,"fixation"
"147",37,8764,9288,1007.16666666667,830.166666666667,18.2854,4.20069999999997,-12.3333333333333,9.5,524,"fixation"
"148",37,10940,11225,1078.66666666667,860,13.3434,5.9304,-11.5,-9,285,"fixation"
